File_Name,Google_Drive_ID,File_Type,Category,Size_MB,Description,CEB_Only,Display_Order
CVMA-National-Bylaws---Revision-V---Signed.pdf,,PDF,Bylaws,1.5,CVMA National Bylaws - Revision V (Signed August 2025),false,10
FL-20-7-Bylaws-221227.pdf,,PDF,Bylaws,0.2,Florida Chapter 20-7 Bylaws (December 2022),false,20
Appendix-A.pdf,,PDF,Bylaws,0.3,CVMA Bylaws Appendix A,false,30
CVMA-Bylaws-Appendix-B-Regional-Rotation-2024.pdf,,PDF,Bylaws,0.08,CVMA Bylaws Appendix B - Regional Rotation 2024,false,40
CVMA-Bylaws-Appendix-C-Discipline-2023.pdf,,PDF,Bylaws,0.17,CVMA Bylaws Appendix C - Disciplinary Procedures 2023,false,50
CVMABylaws-AppendixDConflictofInterest.pdf,,PDF,Bylaws,0.09,CVMA Bylaws Appendix D - Conflict of Interest,false,60
CVMA-Bylaws-Appendix-E-BLCP-Form-and-Instructions-2023.pdf,,PDF,Bylaws,0.17,CVMA Bylaws Appendix E - BLCP Form and Instructions,false,70
CVMA-National-Bylaws---Change-Revision-Summary--10August2025-.pdf,,PDF,Bylaws,0.12,CVMA National Bylaws Change Revision Summary (August 2025),false,80
ChapterBylawTemplate-8-2-2024.docx,,DOCX,Bylaws,0.08,CVMA Chapter Bylaws Template (August 2024),true,90
STATEBYLAWSDraftTemplate-8-5-2024.docx,,DOCX,Bylaws,0.07,CVMA State Bylaws Draft Template (August 2024),true,100
StateStatutes3-7-2024.xlsx,,XLSX,Bylaws,0.02,State Statutes Reference (March 2024),true,110
CVMA Form 100 Membership Application (October 2025),,PDF,Forms,0.6,CVMA Form 100 - Membership Application (October 2025 Revision),false,200
CVMA Form 101 Patch Agreement (October 2025),,PDF,Forms,0.3,CVMA Form 101 - Patch Agreement (October 2025 Revision),false,210
CVMA Form 102 Life Membership Application (October 2025),,PDF,Forms,0.3,CVMA Form 102 - Life Membership Application (October 2025 Revision),false,220
CVMA Form 103 General Application Addendum,,PDF,Forms,0.2,CVMA Form 103 - General Application Addendum,false,230
CVMA Form 201 Chapter Relocation Request,,PDF,Forms,0.15,CVMA Form 201 - Chapter Relocation Request,false,240
CVMA Form 202 Benevolent Fund Request (NOV-24),,PDF,Forms,0.2,CVMA Form 202 - Benevolent Fund Request (November 2024),false,250
CVMA Form 204 Medical Exemption Request (AUG-2025),,PDF,Forms,0.18,CVMA Form 204 - Medical Exemption Request (August 2025),false,260
CVMA Form 308 License Use Violation Report,,PDF,Forms,1.5,CVMA Form 308 - License Use Violation Report,true,270
CVMA Form 400 Investigation Decision Form,,PDF,Forms,0.2,CVMA Form 400 - Investigation Decision Form (Disciplinary),true,280
CVMA Form 401 Chapter Request for State Level Investigation,,PDF,Forms,0.15,CVMA Form 401 - Chapter Request for State Level Investigation,true,290
CVMA Form 402 State Investigative Committee Written Outline,,PDF,Forms,0.15,CVMA Form 402 - State Investigative Committee Written Outline,true,300
CVMA Form 403 Sworn Statement (Blank),,PDF,Forms,0.1,CVMA Form 403 - Sworn Statement Template,true,310
CVMA Form 404 Administrative Hold Memorandum Template,,PDF,Forms,0.12,CVMA Form 404 - Administrative Hold Memorandum,true,320
CVMA Form 410 Counseling Form,,PDF,Forms,0.1,CVMA Form 410 - Counseling Form,true,330
